"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 16 22:04:27 GMT 2022","Sun Oct 16 22:04:27 GMT 2022","55","storage","update bucket","","","","update bucket 0","update bucket should change bucket both public->private and back"
"passed","Sun Oct 16 22:04:28 GMT 2022","Sun Oct 16 22:04:28 GMT 2022","80","storage","get signed link to file","","","","get signed link to file 0","get signed link to file in the bucket"
"passed","Sun Oct 16 22:04:35 GMT 2022","Sun Oct 16 22:04:35 GMT 2022","222","rpc","","","","","call rpc method that has params","When you call rpc, params should be passed properly"
"skipped","Sun Oct 16 22:04:28 GMT 2022","Sun Oct 16 22:04:28 GMT 2022","0","storage","","","","","[skip-local] copy file in bucket",""
"passed","Sun Oct 16 22:04:27 GMT 2022","Sun Oct 16 22:04:27 GMT 2022","51","storage","","","","","delete bucket","get bucket should return bucket info"
"skipped","Sun Oct 16 22:04:37 GMT 2022","Sun Oct 16 22:04:37 GMT 2022","2","functions","","","","","set auth",""
"passed","Sun Oct 16 22:04:27 GMT 2022","Sun Oct 16 22:04:27 GMT 2022","70","storage","","","","","list buckets as admin","list buckets should return all buckets"
"passed","Sun Oct 16 22:04:33 GMT 2022","Sun Oct 16 22:04:33 GMT 2022","95","auth_admin","","","","","update user should work","When you update user then this user has to be updated"
"passed","Sun Oct 16 22:04:31 GMT 2022","Sun Oct 16 22:04:31 GMT 2022","273","authentication","","","","","on auth state changed should return events","When user subscribes on auth changes then user has to receive auth updates"
"passed","Sun Oct 16 22:04:36 GMT 2022","Sun Oct 16 22:04:36 GMT 2022","200","postgrest","","","","","update row","User can update his profile in profiles table"
"passed","Sun Oct 16 22:04:28 GMT 2022","Sun Oct 16 22:04:28 GMT 2022","83","storage","get signed link to file","","","","get signed link to file 1","get signed link to file in the bucket"
"passed","Sun Oct 16 22:04:26 GMT 2022","Sun Oct 16 22:04:27 GMT 2022","114","storage","create bucket","","","","create bucket 0","When you create public bucket then it has to be available"
"skipped","Sun Oct 16 22:04:33 GMT 2022","Sun Oct 16 22:04:33 GMT 2022","0","auth_admin","get url for provider","","","","get url for provider 1",""
"passed","Sun Oct 16 22:04:28 GMT 2022","Sun Oct 16 22:04:28 GMT 2022","82","storage","","","","","update file","update file check if it will change"
"passed","Sun Oct 16 22:04:27 GMT 2022","Sun Oct 16 22:04:28 GMT 2022","190","storage","","","","","list files","list files in bucket"
"passed","Sun Oct 16 22:04:32 GMT 2022","Sun Oct 16 22:04:32 GMT 2022","260","auth_admin","","","","","user created by admin can login","When you create user then he can sign in"
